,1070,2051,2052,2053
747,15.5,13.27,11.96,12.37
748,15.5,13.27,11.96,12.37
749,15.5,13.27,11.96,12.37
750,15.5,13.27,11.96,12.37
751,15.5,13.27,11.96,12.37
752,15.5,13.27,11.96,12.37
753,15.5,13.27,11.96,12.37
754,15.5,13.27,11.96,12.37
755,15.5,13.27,11.96,12.37
756,15.5,13.27,11.96,12.37
757,15.5,13.27,11.96,12.37
758,15.5,13.27,11.96,12.37
759,15.5,13.27,11.96,12.37
760,15.5,13.27,11.96,12.37
761,15.5,13.27,11.96,12.37
762,15.5,13.27,11.96,12.37
763,15.5,13.27,11.96,12.37
764,15.5,13.27,11.96,12.37
765,15.5,13.27,11.96,12.37
766,15.5,13.27,11.96,12.37
767,15.5,13.27,11.96,12.37
768,15.5,13.27,11.96,12.37
769,15.5,13.27,11.96,12.37
770,15.5,13.27,11.96,12.37
771,15.5,13.27,11.96,12.37
772,15.5,13.27,11.96,12.37
773,15.5,13.27,11.96,12.37
